City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Muriwai Beach,NZ,1592584647,35,97,-36.82,174.45,53.01,7.0
Richards Bay,ZA,1592584327,0,84,-28.78,32.04,62.56,2.42
Khasan,RU,1592584373,4,89,42.43,130.64,55.96,1.88
Mahon,ES,1592584647,93,50,39.89,4.27,75.2,9.17
Ferkessédougou,CI,1592584648,87,47,9.6,-5.2,89.42,7.85
Abu Dhabi,AE,1592584548,5,75,24.47,54.37,91.4,6.93
Abalak,RU,1592584648,54,66,58.13,68.59,43.59,3.69
Rumoi,JP,1592584648,18,89,43.93,141.64,51.76,3.71
Channel-Port aux Basques,CA,1592584648,0,85,47.57,-59.14,58.78,4.21
Elko,US,1592584648,1,33,41.0,-115.5,64.0,4.7
Homer,US,1592584649,1,71,59.64,-151.55,51.8,5.82
Ormara,PK,1592584649,0,83,25.21,64.64,85.01,11.23
Orbetello,IT,1592584649,20,64,42.44,11.22,75.2,13.87
Pokhara,NP,1592584387,100,80,28.23,83.98,73.74,2.44
São Francisco,BR,1592584649,69,48,-15.95,-44.86,83.25,5.55
Mulegé,MX,1592584649,0,26,26.88,-111.98,92.03,6.29
Ginda,IN,1592584649,40,78,30.69,78.49,82.4,3.36
Quelimane,MZ,1592584214,75,83,-17.88,36.89,71.6,5.82
Arrondissement de Saint-Denis,FR,1592584650,70,63,48.92,2.33,70.0,5.82
Adwa,ET,1592584650,100,62,14.16,38.9,65.89,1.23
Kaeo,NZ,1592584326,98,93,-35.1,173.78,57.0,17.0
Plouzané,FR,1592584650,75,72,48.38,-4.62,62.6,16.11
Biscarrosse,FR,1592584651,12,56,44.39,-1.17,69.8,9.17
Coyhaique,CL,1592584651,40,81,-45.58,-72.07,42.8,8.05
General Roca,AR,1592584421,0,33,-39.03,-67.58,59.0,16.11
San Juan,AR,1592584360,0,26,-31.54,-68.54,65.62,14.88
Olafsvik,IS,1592584653,28,69,64.89,-23.71,52.32,10.36
Safi,MA,1592584654,0,67,32.3,-9.24,70.97,25.43
Kasamwa,TZ,1592584654,70,56,-2.85,32.43,70.11,1.3
Flin Flon,CA,1592584655,90,86,54.77,-101.86,41.0,4.7
Palauig,PH,1592584655,100,76,15.44,119.9,81.34,4.97
Sortland,NO,1592584655,0,58,68.69,15.42,55.4,13.87
Shihezi,CN,1592584655,79,33,44.3,86.03,71.8,6.26
Sabzawār,IR,1592584655,0,18,36.21,57.68,93.2,9.17
San Policarpo,PH,1592584656,0,82,12.18,125.51,79.72,4.29
Ixtapa,MX,1592584543,5,74,20.7,-105.2,84.0,8.05
Kayes,ML,1592584656,62,47,14.0,-11.0,96.8,4.7
Isangel,VU,1592584656,90,94,-19.55,169.27,71.6,14.07
Dalby,AU,1592584389,43,89,-27.18,151.27,55.0,8.68
Inhambane,MZ,1592584657,40,82,-23.86,35.38,68.0,4.7
Denton,US,1592584364,75,58,33.2,-97.13,88.0,17.22
Kamiiso,JP,1592584657,98,89,41.82,140.65,59.02,3.24
Priboj,BA,1592584657,40,39,44.6,18.93,80.6,2.06
Buraidah,SA,1592584657,0,16,26.33,43.98,100.4,11.41
Mayor Pablo Lagerenza,PY,1592584657,0,32,-19.93,-60.77,93.4,18.23
Langsa,ID,1592584657,97,89,4.47,97.97,76.14,1.86
Nova Granada,BR,1592584658,30,39,-20.53,-49.31,78.8,5.82
Prince Rupert,CA,1592584222,75,100,54.32,-130.32,55.4,2.24
Chazuta,PE,1592584658,4,43,-6.57,-76.14,92.1,0.89
Mareeba,AU,1592584658,75,77,-17.0,145.43,69.8,8.05
Eyl,SO,1592584658,84,63,7.98,49.82,83.5,25.99
Verkhnevilyuysk,RU,1592584658,34,66,63.45,120.32,59.79,4.16
Jinji,CN,1592584658,39,86,23.23,110.83,77.85,2.01
‘Ewa Beach,US,1592584659,1,69,21.32,-158.01,75.2,13.87
Zhezkazgan,KZ,1592584338,11,27,47.8,67.71,62.6,13.42
Tommot,RU,1592584659,89,88,58.96,126.29,52.99,1.19
Maromitsa,RU,1592584659,60,80,59.87,48.01,64.56,10.25
Arman',RU,1592584659,44,91,59.7,150.17,46.92,4.85
Bulancak,TR,1592584659,75,83,40.94,38.23,73.4,8.05
Amahai,ID,1592584659,41,86,-3.33,128.92,77.56,3.47
Flinders,AU,1592584660,36,89,-34.58,150.86,57.99,1.01
Saint Anthony,US,1592584310,1,64,45.02,-93.22,72.0,8.05
Poções,BR,1592584660,33,66,-14.53,-40.37,75.51,7.63
Uruaçu,BR,1592584661,10,33,-14.52,-49.14,86.02,6.76
Assiut,EG,1592584661,0,28,27.18,31.18,95.0,12.75
Huarmey,PE,1592584662,0,63,-10.07,-78.15,70.38,12.21
Kralendijk,BQ,1592584663,75,66,12.15,-68.27,87.8,20.8
Poum,NC,1592584664,1,75,-20.23,164.02,72.28,8.86
Half Moon Bay,US,1592584664,40,72,37.46,-122.43,70.0,3.36
Ürümqi,CN,1592584664,58,40,43.8,87.6,69.8,4.47
Maniitsoq,GL,1592584235,40,85,65.42,-52.9,40.42,17.11
Jumla,NP,1592584665,89,73,29.27,82.18,63.32,2.68
Harper,LR,1592584335,83,76,4.38,-7.72,80.24,9.91
Saint-Augustin,CA,1592584666,100,64,51.23,-58.65,51.48,11.41
Mandalgovi,MN,1592584667,58,55,45.76,106.27,65.05,21.09
Shubarshi,KZ,1592584668,0,31,48.59,57.19,70.43,14.56
Omboué,GA,1592584668,84,85,-1.57,9.26,73.98,8.39
Saiha,IN,1592584447,100,93,22.48,92.97,72.61,2.35
Akranes,IS,1592584669,60,54,64.32,-22.07,57.2,13.87
Belyy Yar,RU,1592584265,74,77,53.6,91.39,60.8,4.47
La Serena,CL,1592584600,78,55,-29.91,-71.25,62.6,3.36
Sarab,IR,1592584669,3,29,38.61,44.99,74.5,4.23
Raudeberg,NO,1592584669,20,53,61.99,5.14,80.6,5.82
Paka,MY,1592584669,96,88,4.64,103.44,78.8,4.7
Saint-François,FR,1592584672,53,46,46.42,3.91,69.8,9.17
Nyurba,RU,1592584300,13,86,63.28,118.33,56.77,4.05
Kalach-na-Donu,RU,1592584673,100,33,48.69,43.53,86.0,8.95
Ippy,CF,1592584673,86,87,6.27,21.22,72.28,0.85
Vrangel',RU,1592584673,22,88,42.73,133.08,51.71,2.57
Deputatsky,RU,1592584673,2,53,69.3,139.9,63.48,1.83
Hammerfest,NO,1592584347,75,65,70.66,23.68,44.6,20.8
Zwedru,LR,1592584674,100,94,6.07,-8.13,76.08,2.91
Jeremoabo,BR,1592584674,61,64,-10.07,-38.48,81.18,12.57
Kirensk,RU,1592584674,0,76,57.79,108.11,52.93,3.6
Ilulissat,GL,1592584674,40,26,69.22,-51.1,57.2,18.34
Barra Patuca,HN,1592584674,94,66,15.8,-84.28,84.79,7.2
Oodweyne,SO,1592584187,4,49,9.41,45.06,80.74,16.62
Keti Bandar,PK,1592584674,14,84,24.14,67.45,86.54,11.27
Port Lincoln,AU,1592584339,13,81,-34.73,135.87,53.91,13.33
Ostrovnoy,RU,1592584675,100,74,68.05,39.51,42.85,23.26
Rawson,AR,1592584066,24,39,-43.3,-65.1,56.25,27.65
Green River,US,1592584675,1,50,41.53,-109.47,55.4,3.94
Paracuru,BR,1592584675,75,66,-3.41,-39.03,86.0,11.41
Dover,US,1592584395,20,69,39.16,-75.52,80.6,5.82
Weston,US,1592584675,100,71,26.1,-80.4,90.0,11.36
Zhangaözen,KZ,1592584676,60,13,43.3,52.8,88.83,7.07
Akureyri,IS,1592584676,40,62,65.68,-18.09,55.4,10.29
Eureka,US,1592584676,48,100,40.8,-124.16,62.01,3.0
Road Town,VG,1592584676,20,62,18.42,-64.62,89.6,9.17
Hofn,IS,1592584676,79,66,64.25,-15.21,53.6,11.41
Palora,EC,1592584676,90,94,-1.7,-77.93,68.0,3.36
Galle,LK,1592584677,78,87,6.04,80.22,81.77,8.43
Arrondissement de Bayonne,FR,1592584677,75,64,43.33,-1.42,72.0,11.41
Pilar,BR,1592584677,75,65,-9.6,-35.96,82.4,21.92
Caucayá,CO,1592584677,62,85,-0.19,-74.78,81.55,3.83
Barysh,RU,1592584677,0,80,53.66,47.11,59.04,5.82
Chara,RU,1592584678,87,76,56.91,118.26,46.92,0.54
Superior,US,1592584519,1,60,46.72,-92.1,73.0,8.05
Shingū,JP,1592584678,54,88,33.73,135.98,62.92,6.82
Grand-Lahou,CI,1592584678,51,77,5.14,-5.02,79.88,10.33
Empório,GR,1592584678,65,22,40.48,21.55,78.8,6.93
Klaksvík,FO,1592584660,89,72,62.23,-6.59,59.0,3.36
Kirakira,SB,1592584380,100,82,-10.45,161.92,78.93,8.03
Panzhihua,CN,1592584678,89,75,26.59,101.71,75.63,1.66
Concordia,AR,1592584679,75,77,-31.39,-58.02,62.6,6.93
Rudnichnyy,RU,1592584679,48,66,59.62,52.47,62.17,10.42
Stephenville,US,1592584340,75,58,32.22,-98.2,84.99,12.75
Basse,DE,1592584681,98,60,52.55,9.51,73.4,16.11
Bonthe,SL,1592584681,100,85,7.53,-12.51,78.28,9.62
Muros,ES,1592584389,1,73,42.78,-9.06,66.0,8.99
Dunedin,NZ,1592584682,98,78,-45.87,170.5,44.01,11.99
Presidencia Roque Sáenz Peña,AR,1592584682,0,55,-26.79,-60.44,87.01,4.0
Bethanien,NA,1592584682,0,28,-26.5,17.16,64.27,15.17
Jiuquan,CN,1592584682,100,18,39.74,98.52,82.36,16.51
Tilichiki,RU,1592584682,0,93,60.47,166.1,45.52,1.97
Port Hawkesbury,CA,1592584682,1,43,45.62,-61.35,93.99,10.29
Batagay-Alyta,RU,1592584682,61,43,67.8,130.41,64.42,1.66
Lincoln,US,1592584201,40,73,40.8,-96.67,71.01,10.29
Guider,CM,1592584683,20,52,9.93,13.95,93.2,3.36
Ballina,AU,1592584683,75,100,-28.87,153.57,57.2,5.82
Fuerte Olimpo,PY,1592584683,34,39,-21.04,-57.87,91.2,13.94
Pingliang,CN,1592584683,89,74,35.54,106.69,64.22,4.03
Erzin,TR,1592584683,64,81,36.96,36.2,73.99,1.63
Ancud,CL,1592584679,20,81,-41.87,-73.82,53.01,11.41
Lingao,CN,1592584684,96,80,19.91,109.69,81.79,9.95
Etchoropo,MX,1592584684,1,56,26.77,-109.67,90.0,5.99
Hefei,CN,1592584684,87,100,31.86,117.28,75.0,4.47
Wau,SS,1592584684,73,74,7.7,28.0,76.89,3.98
Suffolk,US,1592584684,1,57,40.87,-72.8,78.8,6.93
Esperance,AU,1592584684,90,81,-33.87,121.9,48.2,5.82
Mezen',RU,1592584684,30,73,65.85,44.24,44.02,16.4
Rockland,US,1592584685,27,64,41.17,-74.05,82.99,1.01
Ede,NL,1592584685,75,56,52.03,5.66,73.0,11.41
Corinth,GR,1592584334,20,22,37.94,22.96,91.4,10.58
Dengzhou,CN,1592584325,27,64,37.81,120.75,72.01,5.46
Jurm,AF,1592584296,4,32,36.86,70.83,65.88,2.13
Pathein,MM,1592584369,99,89,16.78,94.73,78.22,5.99
Paralímni,CY,1592584685,20,58,35.04,33.98,84.99,11.41
Adiaké,CI,1592584685,20,74,5.29,-3.3,84.2,12.75
Praia,CV,1592584686,20,54,14.92,-23.51,84.2,19.46
Deniliquin,AU,1592584564,69,87,-35.53,144.97,55.96,6.11
Caucaia,BR,1592584686,75,66,-3.74,-38.65,86.0,11.41
Talara,PE,1592584686,0,65,-4.58,-81.27,77.0,13.87
Comodoro Rivadavia,AR,1592584686,33,44,-45.87,-67.5,53.6,32.21
Xining,CN,1592584235,67,53,36.62,101.77,61.72,1.99
Whitley Bay,GB,1592584645,40,77,55.04,-1.45,62.6,8.05
Tonj,SS,1592584687,95,74,7.27,28.68,78.06,3.53
Pāvilosta,LV,1592584687,80,88,56.89,21.19,71.6,3.36
Casale Monferrato,IT,1592584687,0,52,45.13,8.46,81.0,5.06
Khuzhir,RU,1592584687,61,60,53.19,107.34,47.97,0.58
Champerico,GT,1592584687,20,70,14.3,-91.92,87.8,4.7
Mount Vernon,US,1592584683,40,39,40.91,-73.84,84.2,10.29
Ulaanbaatar,MN,1592584455,40,42,47.91,106.88,68.0,8.95
Bucerías,MX,1592584687,5,74,20.75,-105.33,84.0,8.05
Saint-Pierre,RE,1592584688,91,68,-21.34,55.48,71.6,25.28
Nador,MA,1592584688,0,41,35.17,-2.93,78.8,11.41
Zhangye,CN,1592584688,100,21,38.93,100.45,81.01,13.2
Teknāf,BD,1592584688,100,86,20.86,92.31,81.21,8.41
Husavik,IS,1592584688,40,62,66.04,-17.34,55.4,10.29
Riacho de Santana,BR,1592584688,40,51,-13.61,-42.94,82.4,10.29
Valle Hermoso,MX,1592584689,75,88,25.67,-97.83,87.8,10.29
Grand Gaube,MU,1592584689,91,70,-20.01,57.66,72.0,8.99
Wanning,CN,1592584317,100,88,18.8,110.4,81.93,8.99
São Félix do Xingu,BR,1592584689,20,44,-6.64,-51.99,86.99,6.71
Hūn,LY,1592584689,0,8,29.13,15.95,104.4,10.09
Morristown,US,1592584450,75,73,36.21,-83.29,75.99,9.17
Pochutla,MX,1592584689,75,74,15.74,-96.47,84.99,4.45
Cootamundra,AU,1592584690,96,82,-34.65,148.03,55.0,1.01
Bud,US,1592584690,1,45,39.45,-86.18,87.01,5.82
Tigil',RU,1592584690,1,89,57.8,158.67,46.83,2.55
Sobolevo,RU,1592584319,82,76,54.43,31.9,74.41,3.87
Bell Ville,AR,1592584690,63,65,-32.63,-62.69,64.99,1.99
Liaocheng,CN,1592584690,68,56,36.44,115.96,73.67,8.52
Maraã,BR,1592584690,42,87,-1.83,-65.37,82.58,2.89
Vanimo,PG,1592584691,36,82,-2.67,141.3,78.94,2.48
Manokwari,ID,1592584691,0,70,-0.87,134.08,79.77,3.58
Chālūs,IR,1592584691,0,74,36.66,51.42,80.6,4.56
Sabang,ID,1592584363,80,78,5.89,95.32,83.39,11.77
Villafranca de los Barros,ES,1592584691,0,24,38.56,-6.34,84.99,5.99
Hollola,FI,1592584691,19,60,61.05,25.43,73.99,5.01
Calatayud,ES,1592584692,90,82,41.35,-1.64,82.4,8.05
Villazón,BO,1592584692,0,25,-22.09,-65.59,59.67,6.2
Otorohanga,NZ,1592584692,32,98,-38.18,175.2,52.0,1.41
Dalian,CN,1592584692,96,57,38.91,121.6,75.2,2.24
Gijang,KR,1592584649,75,68,35.24,129.21,71.6,6.93
Parnamirim,BR,1592584692,90,100,-5.92,-35.26,75.2,14.99
Vitim,RU,1592584255,26,90,59.45,112.56,54.61,4.74
Sechura,PE,1592584693,2,56,-5.56,-80.82,75.87,10.71
Salinópolis,BR,1592584693,24,82,-0.61,-47.36,82.02,11.27
